userID,username,retweet user,utc off,profile created,favorites,followers,following,tweets,tweetID,retweetID,retweet count,extended,text,date,day,year,month,day,hour,min,sec,url,lat,lon,mentions
'3035489620,b'm1abra',-7.0,Fri Feb 13 21:06:21 +0000 2015,32379,11483,12669,373606,'855633048552873985,,,0,False,ratings: grey \\u2019s anatomy ticks down in return [comma] scandal and... #greysanatomy https://t.co/hy4nx7snwh,Sat Apr 22 04:03:10 +0000 2017,Sat,2017,Apr,22,04,03,10,http://twitter.com/b'm1abra'/status/855633048552873985,,
'723185376270123008,b'fentystoned',-3.0,Thu Apr 21 16:23:24 +0000 2016,741,3721,1283,24717,'855633067280674818,,,0,False,[done] s08e12 - grey's anatomy - good - #greysanatomy - my user is: @jtimberlake https://t.co/4u0zjujuqz https://t.co/wexz4k0qym,Sat Apr 22 04:03:14 +0000 2017,Sat,2017,Apr,22,04,03,14,http://twitter.com/b'fentystoned'/status/855633067280674818,,
'2650644284,b'milllenac',-7.0,Wed Jul 16 10:19:58 +0000 2014,18085,21591,23929,452736,'855633068853346304,,,0,False,jerrika hinton can \\u2019t wait for shondaland fans to see... https://t.co/r7b9l3imti,Sat Apr 22 04:03:15 +0000 2017,Sat,2017,Apr,22,04,03,15,http://twitter.com/b'milllenac'/status/855633068853346304,,
'2403610233,b'TrindadeLeh',,Wed Mar 12 01:38:37 +0000 2014,4810,93,75,2320,'855633114839887873,,,0,False,sacandal [comma]  greys e how to get away with murder,Sat Apr 22 04:03:26 +0000 2017,Sat,2017,Apr,22,04,03,26,http://twitter.com/b'TrindadeLeh'/status/855633114839887873,,
'322970861,b'Gisselle_08',,Fri Jun 24 01:41:41 +0000 2011,17492,457,339,22261,'855633123324899328,,,0,False,boyfriend got out early today so cuddles & greys it is for our friday night.  [emoj_upside_down_face]  [emoj_heart] ,Sat Apr 22 04:03:28 +0000 2017,Sat,2017,Apr,22,04,03,28,http://twitter.com/b'Gisselle_08'/status/855633123324899328,,
'3731659514,b'sarahhersey12',,Wed Sep 30 01:24:10 +0000 2015,61,51,100,120,'855633166710788097,'855581949259382784,onherperiod,264,False,rt @onherperiod: what in shondaland fertilization https://t.co/oshxsn8xau,Sat Apr 22 04:03:38 +0000 2017,Sat,2017,Apr,22,04,03,38,http://twitter.com/b'sarahhersey12'/status/855633166710788097,,
'721490659367075841,b'unicoinio',-3.0,Sun Apr 17 00:09:12 +0000 2016,532,127,241,1952,'855633228270641152,,,0,False,i've just watched episode s04e02 of grey's anatomy! #greysanatomy  https://t.co/bdgob6drhq https://t.co/gfvm0zbkh7,Sat Apr 22 04:03:53 +0000 2017,Sat,2017,Apr,22,04,03,53,http://twitter.com/b'unicoinio'/status/855633228270641152,,
'2588459131,b'FindYourIntern',,Wed Jun 25 23:43:38 +0000 2014,67,11,11,52120,'855633273787043840,,,0,False,internship: clinical trial management planning analysis job: novo nordisk - princeton [comma] nj - requisition id 45216br  [...]  https://t.co/olnb1zinym,Sat Apr 22 04:04:04 +0000 2017,Sat,2017,Apr,22,04,04,04,http://twitter.com/b'FindYourIntern'/status/855633273787043840,,
'60389231,b'okkmeg',-5.0,Sun Jul 26 20:30:29 +0000 2009,39939,1810,877,34150,'855633298927779840,'855628411833921536,taylorpriceee,1,False,rt @taylorpriceee: one last happy birthday to my bff meg thank u for all the greys [comma] late night inlet [comma] & queso dip can't wait to spend  [...] ,Sat Apr 22 04:04:10 +0000 2017,Sat,2017,Apr,22,04,04,10,http://twitter.com/b'okkmeg'/status/855633298927779840,,
'2282930602,b'crowley777_',,Wed Jan 15 03:57:35 +0000 2014,578,508,262,755,'855633313402417154,,,0,False,bro greys anatomy is playing with my emotions #triggered,Sat Apr 22 04:04:13 +0000 2017,Sat,2017,Apr,22,04,04,13,http://twitter.com/b'crowley777_'/status/855633313402417154,,
'2280686094,b'aelisarodriguez',-3.0,Tue Jan 07 14:40:59 +0000 2014,5798,382,457,29908,'855633317655433216,,,0,False,marquei como visto grey's anatomy - 13x17 - till i hear it from you https://t.co/fmvpg5ydza #bancodeseries,Sat Apr 22 04:04:14 +0000 2017,Sat,2017,Apr,22,04,04,14,http://twitter.com/b'aelisarodriguez'/status/855633317655433216,,
