\\U0001f1ea,de_ 
\\U0001f1ea, _emoj_flag_
\\U0001f1f8,es_ 
\\U0001f1eb, _emoj_flag_
\\U0001f1f7,fr_ 
\\U0001f1ec, _emoj_flag_
\\U0001f1e7,gb_ 
\\U0001f1ee, _emoj_flag_
\\U0001f1f9,it_ 
\\U0001f1ef, _emoj_flag_
\\U0001f1f5,jp_ 
\\U0001f1f0, _emoj_flag_
\\U0001f1f7,kr_ 
\\U0001f1f7, _emoj_flag_
\\U0001f1fa,ru_ 
\\U0001f1fa, _emoj_flag_
\\U0001f1f8,us_ 
\\U0001f201, _emoj_koko_ 
\\U0001f202, _emoj_sa_ 
\\U0001f21a, _emoj_u7121_ 
\\U0001f22f, _emoj_u6307_ 
\\U0001f232, _emoj_u7981_ 
\\U0001f233, _emoj_u7a7a_ 
\\U0001f234, _emoj_u5408_ 
\\U0001f235, _emoj_u6e80_ 
\\U0001f236, _emoj_u6709_ 
\\U0001f237, _emoj_u6708_ 
\\U0001f238, _emoj_u7533_ 
\\U0001f239, _emoj_u5272_ 
\\U0001f23a, _emoj_u55b6_ 
\\U0001f250, _emoj_ideograph_advantage_ 
\\U0001f251, _emoj_accept_ 
\\U0001f300, _emoj_cyclone_ 
\\U0001f301, _emoj_foggy_ 
\\U0001f302, _emoj_closed_umbrella_ 
\\U0001f303, _emoj_night_with_stars_ 
\\U0001f304, _emoj_sunrise_over_mountains_ 
\\U0001f305, _emoj_sunrise_ 
\\U0001f306, _emoj_city_sunset_ 
\\U0001f307, _emoj_city_sunrise_ 
\\U0001f308, _emoj_rainbow_ 
\\U0001f309, _emoj_bridge_at_night_ 
\\U0001f30a, _emoj_ocean_ 
\\U0001f30b, _emoj_volcano_ 
\\U0001f30c, _emoj_milky_way_ 
\\U0001f30d, _emoj_earth_africa_ 
\\U0001f30e, _emoj_earth_americas_ 
\\U0001f30f, _emoj_earth_asia_ 
\\U0001f310, _emoj_globe_with_meridians_ 
\\U0001f311, _emoj_new_moon_ 
\\U0001f312, _emoj_waxing_crescent_moon_ 
\\U0001f313, _emoj_first_quarter_moon_ 
\\U0001f314, _emoj_waxing_gibbous_moon_ 
\\U0001f315, _emoj_full_moon_ 
\\U0001f316, _emoj_waning_gibbous_moon_ 
\\U0001f317, _emoj_last_quarter_moon_ 
\\U0001f318, _emoj_waning_crescent_moon_ 
\\U0001f319, _emoj_crescent_moon_ 
\\U0001f31a, _emoj_new_moon_with_face_ 
\\U0001f31b, _emoj_first_quarter_moon_with_face_ 
\\U0001f31c, _emoj_last_quarter_moon_with_face_ 
\\U0001f31d, _emoj_full_moon_with_face_ 
\\U0001f31e, _emoj_sun_with_face_ 
\\U0001f31f, _emoj_star2_ 
\\U0001f320, _emoj_stars_ 
\\U0001f330, _emoj_chestnut_ 
\\U0001f331, _emoj_seedling_ 
\\U0001f332, _emoj_evergreen_tree_ 
\\U0001f333, _emoj_deciduous_tree_ 
\\U0001f334, _emoj_palm_tree_ 
\\U0001f335, _emoj_cactus_ 
\\U0001f337, _emoj_tulip_ 
\\U0001f338, _emoj_cherry_blossom_ 
\\U0001f339, _emoj_rose_ 
\\U0001f33a, _emoj_hibiscus_ 
\\U0001f33b, _emoj_sunflower_ 
\\U0001f33c, _emoj_blossom_ 
\\U0001f33d, _emoj_corn_ 
\\U0001f33e, _emoj_ear_of_rice_ 
\\U0001f33f, _emoj_herb_ 
\\U0001f340, _emoj_four_leaf_clover_ 
\\U0001f341, _emoj_maple_leaf_ 
\\U0001f342, _emoj_fallen_leaf_ 
\\U0001f343, _emoj_leaves_ 
\\U0001f344, _emoj_mushroom_ 
\\U0001f345, _emoj_tomato_ 
\\U0001f346, _emoj_eggplant_ 
\\U0001f347, _emoj_grapes_ 
\\U0001f348, _emoj_melon_ 
\\U0001f349, _emoj_watermelon_ 
\\U0001f34a, _emoj_tangerine_ 
\\U0001f34b, _emoj_lemon_ 
